x,y,z
-0.126,-0.906,0.622
-0.135,-0.804,0.61
-0.123,-0.809,0.551
-0.129,-0.868,0.531
-0.205,-0.947,0.358
-0.205,-0.956,0.276
-0.179,-0.935,0.402
-0.191,-0.906,0.355
-0.196,-0.965,0.041
-0.261,-1.196,0.059
-0.302,-0.977,0.097
-0.235,-0.862,-0.053
-0.378,-0.783,-0.446
-0.346,-0.871,-0.144
-0.311,-0.912,-0.293
-0.358,-0.903,-0.399
-0.352,-0.994,-0.32
-0.29,-0.768,-0.37
-0.358,-0.792,-0.452
-0.402,-0.927,-0.49
-0.387,-0.809,-0.504
-0.416,-0.642,-0.601
-0.337,-0.783,-0.428
-0.375,-0.721,-0.531
-0.408,-0.601,-0.66
-0.463,-0.666,-0.733
-0.402,-0.727,-0.563
-0.375,-0.733,-0.548
-0.44,-0.648,-0.663
-0.428,-0.666,-0.575
-0.387,-0.736,-0.516
-0.378,-0.692,-0.589
-0.387,-0.757,-0.578
-0.346,-0.821,-0.49
-0.328,-0.733,-0.519
-0.343,-0.821,-0.501
-0.343,-0.933,-0.478
-0.32,-0.795,-0.551
-0.302,-0.757,-0.516
-0.302,-0.783,-0.522
-0.317,-0.818,-0.484
-0.293,-0.848,-0.504
-0.273,-0.865,-0.431
-0.308,-0.868,-0.469
-0.282,-0.891,-0.457
-0.261,-0.786,-0.408
-0.267,-0.921,-0.431
-0.273,-0.965,-0.399
-0.29,-0.941,-0.416
-0.226,-0.918,-0.37
-0.255,-0.71,-0.449
-0.264,-0.786,-0.563
-0.308,-0.783,-0.537
-0.334,-0.724,-0.642
-0.346,-0.724,-0.754
-0.416,-0.551,-0.768
-0.416,-0.37,-0.751
-0.519,-0.355,-0.792
-0.419,-0.422,-0.736
-0.399,-0.499,-0.78
-0.46,-0.455,-0.786
-0.431,-0.443,-0.789
-0.367,-0.463,-0.736
-0.378,-0.455,-0.689
-0.44,-0.525,-0.768
-0.331,-0.663,-0.809
-0.261,-0.692,-0.595
-0.331,-0.654,-0.672
-0.29,-0.751,-0.666
-0.138,-0.868,-0.475
-0.129,-0.762,-0.499
-0.211,-0.883,-0.63
-0.097,-0.921,-0.469
-0.029,-0.921,-0.402
-0.056,-0.903,-0.452
-0.073,-0.906,-0.428
-0.015,-0.897,-0.402
-0.012,-0.897,-0.402
-0.015,-0.956,-0.437
-0.032,-0.924,-0.419
-0.009,-0.935,-0.402
0.029,-0.982,-0.334
0.012,-0.977,-0.302
0.023,-0.962,-0.264
0.029,-0.982,-0.217
0.047,-0.968,-0.182
0.053,-1.032,-0.243
0.1,-0.977,-0.038
0.111,-1.003,-0.026
0.111,-0.994,-0.097
0.097,-0.965,-0.155
0.123,-1.123,-0.073
0.152,-0.997,0.114
0.141,-0.979,0.103
0.126,-1.035,0.091
0.094,-1.009,0.135
0.179,-0.979,0.097
0.208,-1.026,0.173
0.088,-0.997,-0.012
-0.073,-0.786,-0.243
-0.038,-1.006,-0.229
-0.065,-0.883,-0.349
-0.141,-0.933,-0.534
-0.07,-1.035,-0.484
-0.079,-0.848,-0.434
-0.126,-0.783,-0.622
-0.126,-0.824,-0.581
-0.1,-0.806,-0.504
-0.056,-0.909,-0.537
0.012,-0.953,-0.384
-0.012,-0.918,-0.399
0.009,-0.962,-0.358
0.053,-0.947,-0.188
0.114,-0.994,-0.188
0.144,-0.982,-0.129
0.135,-0.991,-0.182
0.208,-0.935,-0.202
0.182,-0.956,-0.059
0.152,-1.103,0.067
0.199,-0.883,0.088
0.223,-1.067,0.249
0.161,-0.991,-0.158
0.003,-1.138,0.235
-0.015,-0.707,0.29
0.032,-1.109,0.132
0.094,-0.977,-0.1
0.267,-1.364,-1.032
0.085,-1.103,0.188
0.032,-0.988,-0.041
0.123,-0.853,0.188
0.097,-0.941,-0.27
-0.009,-1.003,-0.408
0.103,-0.977,-0.378
0.279,-1.018,-0.287
0.079,-0.877,-0.349
-0.088,-0.853,-0.66
0.135,-0.897,-0.545
0.138,-0.842,-0.27
0.129,-0.798,-0.71
0.302,-0.739,-0.431
0.481,-0.868,-0.349
0.264,-0.912,-0.645
0.296,-0.903,-0.739
0.387,-0.771,-0.551
0.182,-0.695,-0.37
0.276,-0.818,-0.636
0.428,-0.804,-0.648
0.255,-0.862,-0.663
0.176,-0.806,-0.437
0.293,-0.698,-0.326
0.405,-0.883,-0.716
0.367,-0.848,-0.349
0.323,-0.786,-0.419
0.413,-0.912,-0.695
0.405,-0.727,-0.413
